Festival,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alive,23.52941176470588,10.0,4.545454545454546,7.142857142857142,13.333333333333334,21.428571428571427,6.666666666666667,0.0,21.428571428571427,5.88235294117647,17.647058823529413
Marés Vivas,0.0,16.666666666666664,30.0,0.0,36.36363636363637,33.33333333333333,58.333333333333336,30.76923076923077,41.66666666666667,41.66666666666667,50.0
Paredes de Coura,21.052631578947366,13.636363636363635,6.25,25.0,6.666666666666667,15.789473684210526,10.0,20.0,23.809523809523807,20.0,5.0
Primavera Sound,0.0,0.0,0.0,8.333333333333332,16.666666666666664,8.333333333333332,0.0,8.333333333333332,8.333333333333332,0.0,0.0
Rock In Rio,0.0,23.809523809523807,0.0,15.0,0.0,25.0,0.0,12.5,0.0,18.75,0.0
Sudoeste,26.31578947368421,29.166666666666668,21.73913043478261,22.22222222222222,40.909090909090914,25.0,31.818181818181817,18.181818181818183,25.0,29.411764705882355,31.25
Super Bock Super Rock,18.181818181818183,12.5,33.33333333333333,20.0,16.666666666666664,14.285714285714285,7.6923076923076925,11.11111111111111,22.22222222222222,10.0,8.333333333333332
