,Unnamed: 0,Festival,Ano,Dia,Artista,Palco,Tipo de Palco,Género,Nacionalidade,Comentários
550,1011,Paredes de Coura,2019,16/08,First Breath After Coma,Palco Vodafone,Principal,B – M,,
661,1015,Sudoeste,2010,05/08,Flaming Lips,Palco tmn,Principal,B – M,,
515,1017,Paredes de Coura,2018,16/08,Fleet Foxes,Palco Vodafone,Principal,B – M,,
951,1025,Super Bock Super Rock,2015,18/07,Florence and The Machine,Palco Super Bock,Principal,B – M,,
936,1032,Super Bock Super Rock,2014,19/07,Foals,Palco Super Bock,Principal,B – M,,
506,1031,Paredes de Coura,2017,19/08,Foals,Palco Vodafone,Principal,B – M,,
111,1034,Alive,2016,08/07,Foals,Palco NOS,Principal,B – M,,
30,1037,Alive,2011,07/07,Foo Fighters,Palco Optimus,Principal,B – M,,
126,1038,Alive,2017,07/07,Foo Fighters,Palco NOS,Principal,B – M,,
970,1045,Super Bock Super Rock,2017,15/07,Foster The People,Palco Super Bock,Principal,B – M,,
88,1046,Alive,2014,12/07,Foster the People,Palco NOS,Principal,B – M,,
507,1052,Paredes de Coura,2017,19/08,Foxygen,Palco Vodafone,Principal,B – M,,
237,1053,Marés Vivas,2016,14/07,Foy vance,Palco Meo,Principal,M,,
146,1065,Alive,2018,14/07,Franz Ferdinand,Palco NOS,Principal,B – M,,
554,1067,Paredes de Coura,2019,17/08,Freddie Gibbs & Madlib,Palco Vodafone,Principal,B – M,,
682,1069,Sudoeste,2011,03/08,Freshkitos,Palco TMN,Principal,B – M,,
904,1074,Super Bock Super Rock,2012,06/07,Friendly Fires,Palco Super Bock,Principal,B – M,,
965,1091,Super Bock Super Rock,2017,14/07,Future,Palco Super Bock,Principal,B – M,,
491,1092,Paredes de Coura,2017,16/08,Future Islands,Palco Vodafone,Principal,B – M,,
179,1139,Marés Vivas,2010,15/07,GNR,Palco tmn,Principal,B – M,PT,
175,1098,Marés Vivas,2009,18/07,Gabriella Cilmi,,Principal,F,,
451,1100,Paredes de Coura,2015,19/08,Gala Drop,Palco Vodafone,Principal,F,,
387,1105,Paredes de Coura,2010,29/07,Gallows,Palco Paredes de Coura,Principal,F,,
425,1107,Paredes de Coura,2012,16/08,Gang Gang Dance,Palco EDP,Principal,F,,
555,1108,Paredes de Coura,2019,17/08,Ganso,Palco Vodafone,Principal,F,,
923,1111,Super Bock Super Rock,2013,20/07,Gary Clark Jr.,Palco Super Bock,Principal,F,,
611,1110,Rock In Rio,2014,29/05,Gary Clark Jr.,Palco Mundo,Principal,F,,
713,1114,Sudoeste,2012,03/08,Gen Hansard,Palco TMN,Principal,F,,
760,1115,Sudoeste,2014,08/08,Gentleman,Palco Meo,Principal,F,,
44,1144,Alive,2011,10/07,Gogol Bordello,Palco Optimus,Principal,B – M,,
180,1150,Marés Vivas,2010,15/07,Goldfrapp,Palco tmn,Principal,B – F,,
45,1152,Alive,2011,10/07,Gomez,Palco Optimus,Principal,B – M,,
260,1155,Marés Vivas,2018,20/07,Goo Goo Dolls,Palco Meo,Principal,B – M,,
718,1158,Sudoeste,2012,04/08,Gorillaz Sound System,Palco TMN,Principal,B – M,,
156,1159,Alive,2019,12/07,Gossip,Palco NOS,Principal,B – F,,
510,1165,Paredes de Coura,2018,15/08,Grandfather’s House,Palco Vodafone,Principal,B – F,,
63,1166,Alive,2013,12/07,Green Day,Palco Optimus,Principal,B – M,,
157,1168,Alive,2019,12/07,Greta Van Fleet,Palco NOS,Principal,F,,
305,1171,NOS Primavera Sounds,2013,31/5,Grizzly Bear,Palco Optimus,Principal,B – M,,
662,1176,Sudoeste,2010,05/08,Groove Armada,Palco tmn,Principal,B – M,,
28,1177,Alive,2011,06/07,Grouplove,Palco Optimus,Principal,B – MF,,
346,1178,NOS Primavera Sounds,2017,10/6,Growlers,Palco NOS,Principal,B – M,,
171,1182,Marés Vivas,2009,17/07,Guano Apes,,Principal,B – F,,
104,1236,Alive,2015,11/07,HMB,Palco NOS,Principal,B – M,PT,
280,1235,Marés Vivas,2019,21/07,HMB,Palco MEO,Principal,B – M,PT,
651,1201,Rock In Rio,2018,30/06,Hailee Steinfeld,Palco Mundo,Principal,B – M,,
641,1203,Rock In Rio,2018,23/06,Haim,Palco Mundo,Principal,B – M,,
755,1208,Sudoeste,2014,07/08,Hardwell,Palco Meo,Principal,B – M,,
841,1210,Sudoeste,2018,09/08,Hardwell,Palco Meo,Principal,B – M,,
787,1209,Sudoeste,2015,08/08,Hardwell,Palco Meo,Principal,B – M,,
629,1243,Rock In Rio,2016,27/05,Hollywood Vampire,Palco Mundo,Principal,B – M,,
621,1246,Rock In Rio,2014,31/05,"Homenagem a António Variações com: Linda Martini, Gisela João, Rui Pregal da Cunha e Deolinda",Palco Mundo,Principal,B – M,,
377,1250,NOS Primavera Sounds,2019,8/6,Hop Along,Palco NOS,Principal,B – M,,
435,1251,Paredes de Coura,2013,15/08,Hot Chip,Palco Vodafone,Principal,B – M,,
874,1252,Super Bock Super Rock,2010,17/07,Hot Chip,Palco Super bock,Principal,B – M,,
901,1253,Super Bock Super Rock,2012,05/07,Hot Chip,Palco Super Bock,Principal,B – M,,
362,1276,NOS Primavera Sounds,2018,8/6,Idles,Palco NOS,Principal,B – M,,
